member_casual,month_start,month_label,number_of_trips
casual,2025-07-01,July 2025,309291
member,2025-07-01,July 2025,430535
casual,2025-08-01,August 2025,324165
member,2025-08-01,August 2025,443214
casual,2025-09-01,September 2025,255223
member,2025-09-01,September 2025,441046
casual,2025-10-01,October 2025,214849
member,2025-10-01,October 2025,414231
casual,2025-11-01,November 2025,94930
member,2025-11-01,November 2025,252033
casual,2025-12-01,December 2025,27173
member,2025-12-01,December 2025,109411
casual,2026-01-01,January 2026,23962
member,2026-01-01,January 2026,109974
casual,2026-02-01,February 2026,40162
member,2026-02-01,February 2026,157270
casual,2026-03-01,March 2026,85023
member,2026-03-01,March 2026,223696
casual,2026-04-01,April 2026,127321
member,2026-04-01,April 2026,308546
casual,2026-05-01,May 2026,236362
member,2026-05-01,May 2026,399616
casual,2026-06-01,June 2026,297769
member,2026-06-01,June 2026,444187
